Date,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Добування інших корисних копалин та розроблення кар'єрів,Виробництво харчових продуктів,Виробництво напоїв,Текстильне виробництво,Виробництво паперу та паперових виробів,Виробництво коксу та продуктів нафтоперероблення,Виробництво хімічних речовин і хімічної продукції,Виробництво гумових і пластмасових виробів,Виробництво іншої неметалевої мінеральної продукції,Металургійне виробництво,Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Виробництво інших транспортних засобів,Виробництво меблів,"Постачання електроенергії, газу, пари та кондиційованого повітря","Збирання, оброблення й видалення відходів; відновлення матеріалів",Будівництво будівель,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,Складське господарство та допоміжна діяльність у сфері транспорту,"Виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів",Телекомунікації (електрозв'язок),"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Діяльність у сферах права та бухгалтерського обліку,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Діяльність із працевлаштування,Обслуговування будинків і територій,"Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги","Діяльність у сфері творчості, мистецтва та розваг",Діяльність із забезпечення стравами та напоями,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння","Виробництво готових металевих виробів, крім машин і устатковання",Ремонт і монтаж машин і устатковання,Авіаційний транспорт,"Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність",Діяльність охоронних служб та проведення розслідувань,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),Будівництво споруд,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Оренда, прокат і лізинг",Діяльність громадських організацій,Діяльність головних управлінь (хед-офісів); консультування з питань керування,Тимчасове розміщування,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів,Організування азартних ігор,Водний транспорт,"Забір, очищення та постачання води",Охорона здоров'я,"Поліграфічна діяльність, тиражування записаної інформації",Надання інформаційних послуг
2020-02-01,770854.27846,,165122.4565,486661.40562,10023.5061,,336.10098,12329.3322,1205.75539,632627.23538,720.87254,32908.75124,1506.50656,661813.39246,3.4851,1655.4555,,885.61693,2050.02129,90.15111,167709.46656,1305463.14803,34982.54018,716.21663,43741.53306,58219.4848,150.0,7773.0876,186040.05175,0.00679,,3384.22058,170.64759,63.52428,0.00469,,147.78507,3.32068,20893.61518,55.15006,132.4768,1015.57802,,,,,,,,,,,,,,
2020-03-01,715863.71642,,162817.61415,478307.92011,9892.88674,,0.14596,12415.3797,995.82165,623758.66846,718.22002,32209.43662,14.57268,658606.12293,4.79563,1748.59529,,943.85091,1247.06506,0.73958,153394.57253,1301225.11484,9368.39549,509.93387,41277.91262,57862.37447,150.0,7758.0876,183739.05968,0.00706,,6232.30034,110.53697,62.7689,0.00488,,145.47473,17.75081,18029.15871,111.73241,7.22821,1002.85795,,,,,,,,,,,,,,
2020-04-01,780515.43186,,185317.74055,543370.05673,11457.91458,,,12507.36151,1010.16069,628784.53979,871.01293,34802.8581,1.64208,759941.20612,391.25849,2024.79108,,1016.67779,665.52884,25.0727,48416.70229,1403006.42705,9224.04343,7346.72455,42801.33586,66696.14443,150.0,7758.0876,206354.52929,0.00735,,4.39834,,1371.55615,0.00508,,68.11861,99.81658,,22534.53474,557.8207,85.25617,,,,,,,,,,,,,,
2020-05-01,783166.9273,,178311.07957,524570.01702,10898.35912,6981.91029,344.49477,12596.37617,922.48266,604262.79988,795.84825,33478.80802,9.34645,734309.52721,,830.33338,,302.48594,413.25518,0.77228,46962.83223,1424653.72146,37773.59049,7020.38873,38573.31973,64651.27167,300.0,7773.0876,199157.46583,0.00763,,2166.85544,32527.28203,68.63898,0.00528,,0.76997,0.05698,,21705.04993,1.427,0.37592,,,,,,,,,,,,,,
2020-06-01,804327.20301,,177890.1978,523485.47319,11120.6448,6981.91029,297.13751,11339.62798,513.29812,602680.79646,724.1037,32685.69656,1.4306,740444.06024,,1495.22098,,304.25976,380.10822,0.42766,46610.79239,1397863.85952,40587.08287,6970.22811,36220.5105,65057.15831,150.0,7758.0876,198476.30394,0.00792,,1292.54937,2663.06339,61.54767,0.00548,,,,,21688.80185,,,,,,,,,,,,,,,,
2020-07-01,813474.292,,176516.73071,519836.35505,11321.80802,5981.88844,300.29787,11428.64264,43.26893,598134.03641,829.85446,31651.64546,82.2377,741776.93684,732.34505,1761.45809,,397.14757,384.28177,62.60547,46463.12098,1313451.93378,11052.64445,6775.68993,51632.31025,65080.84971,150.0,7773.0876,197092.07255,0.0082,,5798.63004,49221.54172,62.02459,0.00568,2833.12426,,,,28.00492,,,,,,,,,,,,,,,,
2020-08-01,809328.00385,,182938.74853,539209.34596,12391.75015,,489.43332,11520.62445,173.41418,620617.93942,763.96622,32033.14852,1140.75684,776312.23129,243.56526,1567.44772,,392.9654,651.95692,0.7235,46948.96042,1412577.13051,16781.76755,6748.63458,50018.613,68096.17594,150.0,7758.0876,203546.54192,0.00849,,9.63622,7892.53087,60.85239,0.00588,4.45996,,,,,,,,,,,,,,,,,,,,
2020-09-01,764708.00119,,181554.3602,535233.15529,12551.43892,,164.40808,11612.60626,355.30471,616938.75454,718.53889,31811.56558,2533.9235,777169.8713,5.79245,2009.58117,,391.31725,251.40327,69.63537,46571.91647,1481656.44051,5671.56158,6497.04695,47343.50509,68141.29888,150.0,7758.0876,200704.28831,0.00878,,186.24418,7703.47864,62.19434,0.00608,,,,,,,,,,,,,,,,,,,,,
2020-10-01,783087.44743,182605.96428,186844.47171,551799.19735,12790.75876,,,11701.62092,4.6072,634855.5702,718.2966,32789.17759,2620.38257,806385.94508,2.0095,1827.79767,42.28045,392.69826,185.0429,114.47972,49195.46108,1529442.03064,17268.57635,6520.15988,45872.5212,70755.30754,150.0,7758.0876,205977.67183,0.00906,172.93883,55.87022,5781.77451,61.16904,0.00628,,,,,,,,,,,,,,,,,,,,,
2020-11-01,830913.44076,182796.27888,192304.53519,553388.21117,92993.56371,608.37516,517.54604,11793.60273,2135.04224,637767.63528,718.24042,32123.63977,1119.84693,818085.85,1.43027,1879.94765,26.79298,403.43768,417.30583,0.18633,48829.49149,1597572.95146,10014.81536,6045.93849,43800.12507,71698.79837,150.0,7758.0876,206870.98906,0.00935,315.21214,20.63279,241.84542,58.14965,0.00648,,,,,,,,,,,,,,,,,,,,,
2020-12-01,892515.38578,183175.72992,213650.98414,553531.67905,94271.44029,777.51779,527.77599,11882.61739,2461.04059,638506.05523,765.90089,28765.67164,,825448.56582,564.21016,1951.55791,14.56479,388.31779,778.50657,,2544.19267,1415187.58114,21526.79431,5685.05819,41178.80242,,150.0,7893.0876,182406.24888,0.00963,313.89164,7.22467,25553.27363,58.1497,0.00668,,,,,,,,134284.0277,,,,,,,,,,,,,
2021-02-01,838163.18654,182960.88298,192480.16656,549893.38985,81037.34792,2283.50738,730.65964,,4044.50658,622187.34584,9e-05,42497.77482,,831650.45793,,2098.31149,177518.26697,311.67227,8.28154,144.9353,1140.03542,1179057.36371,24214.54894,5719.35878,27205.30998,,,7943.0876,180643.19859,0.01021,7.62056,2.66011,24999.7665,58.1498,0.00708,15574.52143,,,,,,,132985.9093,308.66207,,,0.04018,,,,,,,,,
2021-03-01,872304.49101,182525.77828,184479.5212,544349.88627,80941.24724,2002.45181,1014.24455,,4262.32714,619249.89608,0.12748,41093.83679,,742464.65793,,2335.1599,179350.31402,169.06519,151.84248,145.87028,1751.61881,1231314.5306,22373.79226,5029.33128,5523.89349,,,7893.0876,178959.45443,0.01047,53.91595,,37282.43146,59.12896,0.00726,20.89004,,33330.53537,,,,,131746.2817,476.66217,,,0.04018,,,,,,,,,
2021-04-01,995853.71634,182651.61497,200039.8876,545442.10145,55713.32016,17596.19579,640.86292,,5677.39848,618315.14921,0.04304,53626.79455,0.23241,746747.55765,,2297.48576,3945.52953,171.73192,981.89448,0.21853,2411.0268,1288978.90607,74774.93114,765.03744,951.60482,,,7893.0876,178671.89099,0.01076,479.9721,4.87845,55082.6341,91.72167,0.00746,,,42504.07847,12101.09015,,,,131534.4884,497.51266,,,0.04018,0.8911,,,,,,,,
2021-05-01,1068490.54643,182458.7672,207010.90222,572711.85784,45393.29234,19060.7897,1004.31365,,4909.651,611934.28224,2564.43487,52193.80624,1776.82111,745997.39635,,2271.18536,151885.59854,171.53677,1004.70733,1102.79452,21860.80945,1332971.08834,108958.47658,1466.5536,1012.70506,,,8043.0876,177805.73535,0.01104,554.94602,1.06667,53915.35244,65.14865,0.00766,,,29857.92489,19382.87608,,,,130896.75,412.45889,,53.95803,0.04018,1.95788,,,,,,,,
2021-06-01,1148841.8935,182264.85407,188963.2994,565968.11417,,19027.38159,997.45486,,3280.77592,606498.85888,32237.78805,85094.75287,711.94793,747288.02736,,2154.12206,331167.74939,176.18303,704.5062,12.82192,71894.44377,1310543.05043,145613.83798,1243.21106,1013.83456,,,7893.0876,177215.43871,0.01133,163.77397,,5210.92311,62.51365,0.00786,,,42828.05924,19350.78172,,,,129719.3868,343.29502,,0.66072,0.04018,,,,,,,,,
2021-07-01,1279487.64324,181882.238,179167.0676,552172.30434,,13428.82719,949.95523,,2863.72791,599441.0836,49181.87706,87384.67522,2452.82974,743308.7207,,2524.38112,197931.3281,180.67941,343.21675,4.07671,68840.8479,1348170.60702,201742.40397,1617.51256,3711.35163,,,7893.0876,175138.50784,0.01161,1.50644,,54859.0887,11903.83802,0.00806,,,49852.87761,7545.39499,16303.54573,,,128190.6071,282.31389,319.49984,120.37859,,,,,,,,,,
2021-08-01,1337087.51422,181648.02673,177210.34076,531923.8563,,10457.66092,938.87583,,2789.23746,593134.5988,57181.78213,84679.44652,317.64117,735303.32681,,27.49337,323967.30105,185.32567,3.55807,,69242.79331,1425335.9116,131040.72024,2349.51345,1763.14008,,,159.8376,173283.25663,0.0119,166.2017,,74427.56642,11456.41869,0.00826,,,29159.65993,2067.14225,154.34362,,,126824.5639,339.77858,0.07019,0.65492,0.00656,,,,,,,,,
2021-09-01,1353744.75105,181621.29117,177039.49299,553737.13654,,13354.81316,396.32767,,3510.07522,592555.34293,52494.13423,82210.4042,151.65367,742653.75971,,,95315.53273,189.97193,1323.91046,,110568.36504,1944981.50329,139832.09642,1407.79902,4874.06522,,,159.8376,173112.85063,0.01219,256.7413,,74531.2587,25044.3113,0.00846,,,44441.77948,9.8795,15932.25306,,,126699.0917,3.25613,1435.07745,104.77964,0.00686,,,,,,,,,
2021-10-01,1345710.30669,181278.97761,180527.34723,782850.23492,,18084.64107,923.71804,,2426.6065,586368.62908,51497.15448,51190.68623,570.91678,740076.8789,,,263833.13798,194.46831,1005.57246,,165617.24803,1902639.69594,157782.32694,895.01397,8778.64584,,,159.8376,171292.23558,0.01247,319.35312,,32994.08981,19424.4429,0.00866,,,45955.96444,115.45994,18147.88816,,,125358.992,30121.58329,0.22713,0.56775,0.00715,,,,,,,,,
2021-11-01,1324495.20871,181084.97201,183773.36254,779573.5306,,124230.36765,911.5009,,4222.30217,580935.38339,66686.21986,176805.56272,496.48322,738439.07387,,,251610.76564,199.11457,943.9333,,36876.23778,1667072.74083,114599.22303,87431.31673,10073.09052,,,159.8376,36484.95891,0.01276,421.48917,,78159.50282,22600.05873,0.00886,,,18549.92451,383.90185,18132.589,,,124182.1005,126770.17835,0.28981,0.13275,0.00745,,65883.28767,,,,,,,
2021-12-01,1384714.74195,181879.82616,206870.23094,799837.34739,,54187.6825,915.57122,,3125.09037,600023.30608,844.0162,200173.0827,522.89416,768908.4231,,,7394.24893,203.61095,937.25572,1.20131,13446.60328,1536685.18335,113777.21296,86897.04027,8139.82089,,,159.8376,102574.38356,0.01304,426.84206,,37781.72816,19164.74987,0.00906,,,19100.45851,247.1789,82962.71563,,,128179.2863,131557.88012,77.53979,1.41047,0.00774,,65854.79452,4976.54418,795.68326,,,,,
2022-01-01,1590774.91604,182041.52177,184704.86482,805502.23448,,44745.7639,1137.75715,,3645.1634,601662.43149,846.05751,514701.39292,3.68224,782755.25812,,,105397.82136,208.25721,967.44977,0.50394,3342.28963,1462980.83606,118962.24828,86888.83057,8248.31835,,,159.8376,103588.31233,0.01333,423.21161,,1225.06109,9014.28177,0.00926,,,20648.45631,2.22309,135304.60369,,794.00772,128671.2694,101231.50684,0.05882,0.53188,0.00804,,65883.28767,20063.07598,773.995,,,,,
2022-02-01,1521937.61206,183554.89465,189405.85285,842648.4328,,384.62082,672.66711,,5128.74207,635175.51847,855.76833,553628.70085,667.04297,838176.7059,,,1840.30784,212.90347,984.6506,336.20404,3528.3596,1351007.43417,103666.95877,86676.13476,4712.12744,,,159.8376,104651.89727,0.01362,2.66243,,34856.50486,14787.69091,0.00946,,,26320.59763,1004.29218,141078.03569,,750.34368,135773.6563,61295.04045,0.08344,189.01927,0.00834,,65883.28767,30028.38962,1590.30636,,,,,
2022-03-01,1461053.09398,183886.01845,192433.45407,853014.01517,,372.51361,1183.71781,,5835.90485,644706.08036,877.19639,479675.04008,815.24436,858967.39397,,,359821.59954,217.10009,741.96213,2.33036,3926.49374,1338311.49676,112772.18618,346231.54941,12351.25509,,,309.8376,105631.87535,0.01388,2.03128,,99363.1421,17577.96442,0.00964,,,37476.7176,2986.61058,142196.99178,,760.87956,137995.3633,313.6576,141.36263,165.3046,0.00861,,65797.80822,32170.27064,1543.21064,,,,,
2022-06-01,1605792.58772,184093.26742,192433.87281,846818.84954,,388.39029,1080.89647,,1417.16057,644705.79111,947.60289,396110.2133,523.9018,879556.88658,,,5876.5368,230.88899,457.90061,,4021.06901,912189.63224,111034.77769,86222.11473,0.05245,,,309.8376,108547.73015,0.01474,,,191.18956,6010.24156,0.01024,,,169942.76997,2552.07575,138047.79766,,632.2236,137995.3633,327.07524,0.00582,170.38537,0.0095,,65883.28767,6752.47267,1407.37116,,,0.02279,,
2022-07-01,1668413.46096,184033.96535,192434.00941,845796.92559,,393.59448,1059.1947,,583.26279,644705.79111,970.56153,392685.02649,168.70928,885268.12863,,,3904.34617,228.47208,436.4574,,3562.31994,711796.02981,111086.78669,86182.77508,8e-05,,,309.8376,109631.39042,0.01502,,,,11616.32961,0.01044,,,131118.4059,2703.14598,137717.0225,,598.90053,137995.3633,330.06142,0.00605,165.64688,0.00979,,65854.79452,6679.06205,1361.88722,,,0.02371,,
2022-08-01,1756732.8768,191586.75778,239445.03887,1038442.48826,,4.33682,864.34436,,2.58616,803972.84172,994.28546,340867.53089,166.09839,1107043.88695,,,3974.26537,181.99139,,,3882.61559,673475.01621,143549.74787,86210.87273,8e-05,,,309.8376,110783.76439,0.01531,,,,7819.05752,0.01064,,,152984.83872,254.44273,160398.24319,,608.4708,172494.0862,302.33648,0.00629,170.3643,0.01009,,65883.28767,6685.04394,1315.98946,744.30533,,,,
2022-09-01,1756050.41796,187047.41531,239445.2144,1031347.02033,,,1232.75585,,,803972.84172,1018.00939,282939.94148,156.05386,1116533.95856,,,3435.04438,184.99837,,,3848.17235,707115.10379,144307.28108,86211.66618,8e-05,,,309.8376,111920.70001,0.0156,,,,10710.54836,0.01084,1270.28896,,187146.38926,296.34452,160039.05675,,534.63975,172494.0862,2.2344,0.00653,163.63918,0.01039,,65883.28767,20152.65093,,746.62543,96.59341,,,
2022-10-01,1715841.32902,186978.52747,239445.38434,1026563.32951,,,1133.11269,,,803197.37494,1040.96803,224205.86453,117.87138,1124115.53761,,,3259.0729,187.90835,,,3866.05613,725930.66187,108604.26063,86175.17377,8e-05,,,309.8376,113005.52192,0.01588,,,,6572.4045,0.01104,1224.32045,,193546.37327,912.18493,156044.38508,,501.441,172494.0862,,0.00676,153.96913,0.01068,,65854.79452,20233.18735,,,100.57811,,,
2022-11-01,1687994.4587,187045.5249,239445.55987,1017184.5537,,,930.0587,,,803197.37493,1064.69196,108236.70552,39.03975,1127886.15455,,,2978.96487,190.91533,,,3842.48183,720158.34708,109589.82654,86213.22749,8e-05,,,309.8376,114157.8959,0.01617,,,,10205.01158,0.01124,1179.01267,,197396.55143,,156086.05097,,511.93698,172494.0862,,0.007,,0.01098,,65883.28767,27154.26646,,,24.53864,,,
2022-12-01,1663940.86366,186978.52747,239445.72981,1019145.73685,,,720.927,,,803197.37493,1087.6506,107521.09445,29.44962,1132843.05138,,,2801.796,193.82531,,,3898.6289,750614.43836,109576.2099,86225.63919,0.00862,,,309.8376,115262.8548,0.01645,,,,9040.6838,0.01144,1163.3549,,169976.22228,,151973.81927,,477.91392,172494.0862,,0.00723,,0.01127,,65892.19178,27211.50882,,372.82427,,,,
2023-01-01,1604923.51863,187045.52491,239445.90534,302194.19472,,,1288.74239,,,,1111.37453,106495.50918,,10629.05752,,,5221.8981,196.83229,,,3598.75243,613846.41867,59719.39907,86405.83205,0.00896,,,309.8376,116484.26987,0.01674,,,,10367.91056,0.01164,1117.7856,,154053.33169,,150190.25017,,,175828.38628,,0.00747,,0.01157,,66048.90411,27233.13354,,373.31272,,,,
2023-02-01,1570229.83749,187053.65642,239446.08087,281041.25303,,,1277.33975,,,,1135.09846,103561.50076,,13315.99101,,,2042.44126,199.83927,,,3561.85298,656995.75634,5495.62523,86422.61578,0.0093,,,309.8376,117627.91782,0.01703,,,,8832.9408,0.01184,1102.38853,,156116.34234,,151168.23118,,,176507.56867,,0.00771,,0.01187,,66061.36986,27245.58072,,,,,,
2023-03-01,1505878.28797,187072.21439,239446.23963,273915.57477,,,1240.58383,,,,1156.52652,99996.49648,,16461.24432,,,1730.07805,141.1021,,,3566.84328,705331.90402,5069.0411,86339.21583,0.0096,,,309.8376,323458.03376,0.01729,,,,10422.48903,0.01202,1055.57356,,149801.68524,,145296.04301,,,173792.09451,,0.00792,,0.01214,,65997.26027,27228.99379,,,,,,
2023-04-01,1468557.27437,187297.60162,239446.41516,239688.3079,,,982.3624,,,,1180.25045,60567.01763,,16883.2212,,,1549.88112,142.37648,,,3495.75309,875852.9567,,71386.93107,10119.40443,,,309.8376,324822.56848,0.01758,,,,,0.01222,,,152442.76075,,144845.63148,,,174507.16313,,0.00816,,0.01244,,66104.10959,100793.75922,1010.39014,,,,,
2023-05-01,1499571.5952,187222.47267,239446.5851,231592.92807,,,674.56988,,,,998.11269,68664.34519,,16920.5847,,,1366.5663,123.12371,588.95282,,3505.39417,755684.97674,20095.89042,61123.72663,138246.82108,,,309.8376,325692.7912,0.01786,,,,,0.01242,,,151661.01126,,144203.87629,,,175222.5499,,0.00839,,0.01273,,66068.49315,100817.69619,964.20019,,,,,
2023-06-01,1565206.18365,187297.60162,239446.76063,228405.8744,,,1107.64301,,,,1019.56652,20942.67112,,4131.5955,,,1247.05528,123.81734,603.82704,,3390.21327,854033.52006,120198.16957,61208.59255,165515.27113,,,309.8376,327027.08181,0.01815,,,,,0.01262,,,144663.80422,,138208.68469,,,173970.17043,,0.00863,,0.01303,,66269.72603,113799.05121,,,,,,
2023-07-01,1629477.11867,187222.47267,239446.93056,225523.72795,,,748.73884,,,,1040.32829,102335.63193,,1816.40263,,,1343.43561,99.90887,2.90493,,3424.09942,970225.01486,86896.76866,50072.6347,6926.61932,,,309.8376,328097.86679,0.01843,,,,,0.01282,,,144544.66488,,138128.75608,,,174715.25016,,0.00886,,0.01332,,66228.76712,115181.99429,,,37.77051,,,
2023-08-01,1690971.24001,187297.60162,239447.10609,221423.8882,,,910.41875,,,,1061.78212,76472.17318,,2315.12259,,,799.74832,,372.40551,,50882.01111,1123513.78953,86891.23135,50352.72207,10094.88733,,,300.0,329346.46124,0.01872,,,,,0.01302,,,142789.61261,,136268.11208,,,173276.96763,,0.0091,,0.01362,,66269.72603,117030.78559,,,63.99655,,,
2023-09-01,1747380.14987,187330.12764,239447.28162,235439.79563,,,354.01032,,,,1083.23595,54502.01819,,3841.58493,,,1040.72436,,3.22824,,55799.82165,959877.11572,91505.44877,49995.57159,10016.3168,,,300.0,323205.09281,0.01901,,,,,0.01322,,,138466.63575,,133353.39823,,,250867.41751,,0.00934,,0.01392,,66269.72603,115607.03125,,,23.25622,,,
2023-10-01,1786078.67264,187344.44527,239447.45156,237666.39479,,,289.09287,,,,1304.62101,49282.81836,,30.42918,,,37267.6277,,0.74951,,67858.04486,910188.74178,56241.34492,40055.05396,9442.99888,,,300.0,316915.36169,0.01929,,,,,0.01342,,,131674.80981,,131821.52853,,,251642.80384,,0.00957,,0.01421,,66228.76712,86066.62057,,,102.24728,,,
2023-11-01,1772676.01617,187219.90704,238144.70109,220763.33112,,205.33606,812.19395,,,,1326.73114,46987.74475,,44.85958,,,241884.00416,,1.69446,,30274.58437,1016391.73772,76329.04109,48323.98299,8767.58053,,,300.0,315235.41597,0.01958,,,,,0.01362,,,174164.87858,,127995.31022,,,248702.76697,,0.00981,,0.01451,,66269.72603,85323.03623,,,38.49456,,8522.63052,
2023-12-01,1808680.11921,187150.09151,238204.64917,32069.37151,,0.73388,1196.17509,,,,1651.38977,74805.10229,,345.79795,,397.0544,447.7273,,0.74956,,7908.80208,1032071.2835,105278.32264,48332.48979,7743.88928,,,360.27397,316348.60297,0.01986,,,,,0.01382,,,131802.49424,,127356.89516,,,249535.12622,,0.01004,25585.36664,0.0148,,66228.76712,71150.22137,,,62.411,,22739.22024,
2024-01-01,1833511.114,187235.61988,,33071.80312,,,717.56216,,,,1478.1006,122051.5646,,134.16603,,8.20805,129.84428,,0.74951,,7305.90589,905046.99478,83835.03843,48147.06597,7674.73025,,,300.0,324001.8192,0.02015,,,,,0.01402,,,143666.64735,,128879.76587,,,261397.39427,,0.01028,56324.0117,0.0151,,66269.72603,76595.41113,,,,,21832.67946,997.19102
2024-02-01,1882068.45227,187105.17594,,31848.92118,,,567.20356,,,,1502.22637,85149.98647,1969.49694,2793.2856,,8.47734,245109.77144,,0.74956,,46970.74854,884820.19004,97219.41582,38993.98822,13191.41484,,,300.0,340863.1895,0.02044,,,,,0.01422,,,140100.15527,,178254.26759,,,259021.68591,,0.01052,54929.6199,0.0154,,66266.25683,75484.72512,,,,,23971.16937,0.95704
2024-03-01,1893158.91429,186982.90061,,50995.98595,,,249.83986,,,,1525.43821,100215.42636,1946.04476,,,9.66127,251947.22123,,0.74951,,70962.2558,1138609.76899,108732.19806,38670.82469,18837.3329,,,344.2623,301813.3497,0.02044,,,,,0.01422,,,138563.01164,,237455.492,,,262078.81096,,0.01052,79144.0652,0.0154,,66133.06011,,,,67.38684,,21968.64058,1000.53678
2024-04-01,1956530.73365,187148.34493,,61785.10043,,,255.49377,,,,1465.35183,77317.85561,1921.43006,858.77407,,381.3557,19815.13464,,0.74951,,6614.34742,1222216.0252,284466.04884,32383.87981,1438.79407,,,319.67213,307769.94502,0.021,,,,,0.01461,,,141093.86444,,240068.8914,,,269891.28488,,0.01098,89015.13698,0.01598,,66211.20219,,,,41.82831,,24103.32085,807.23032
2024-05-01,2140151.85782,187007.17104,,58073.69865,,,0.34551,,,5037.57182,1686.73877,77990.91591,1894.17632,2612.61684,,7717.7825,60239.8035,,,,7901.54984,1179778.79935,341825.45465,26023.65484,99989.94158,,,341.80328,306778.14775,0.02128,,,,,0.01481,1281.47921,,142843.22753,993.40125,238879.23542,,,271260.82668,,0.01121,109810.70368,0.01627,,66172.13115,,,,53.87979,,23003.51232,879.35665
2024-06-01,2227187.96073,187315.98586,,125563.70422,,,220.02844,,,5089.09006,1624.1011,76323.84301,1817.34894,3686.70222,,7433.0718,76753.19289,,,,6640.70313,1398200.35921,421041.91469,16898.61422,102963.40473,,,300.0,287204.07465,1971.9777,,,,,0.01501,1311.27506,,133619.92816,1012.02952,239298.63646,,,277828.12234,,0.01145,157714.81583,0.01657,,65708.79781,,,,,,23027.30914,1006.00428
